swVersion	productClass	wifiType	operator	province	chipset	chipsetDate	midware	midwareDate	author	firmwareDate	noteAddr	firmwareAddr
S-010W-A_SW_A_ZY_CUHN_R1.01.05	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170505	suying	20170515	童维青	2017-05-19	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P017	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
G-120WT-P_SW_A_ZY_CMHN_R1.00.25	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170519	suying	20170519	李滨伟	2017-05-19	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P15	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
G-120WT-P_SW_A_ZY_CMSC_R1.00.06	G-120WT-P	MTK7526FU	CM	sc	RK3228B	20170519	suying	20170413	李滨伟	2017-05-19	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078219_FCZZA#01P06	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一四川移动
G-120WT-P_SW_A_ZY_CTAH_R1.00.08	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170519	suying	20170519	童维青	2017-05-19	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P09	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
S-010W-A_SW_A_ZY_CUHN_R1.01.04	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170505	suying	20170515	童维青	2017-05-18	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P016	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
RG020ET-CA_SW_B_ZY_CTHE_R1.00.00	RG020ET-CA	RTL8676	CT	he	S905L	20170512	suying	20170512	姜良超	2017-05-18	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8238-FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/河北电信LAN上行
S-010W-A_SW_A_ZY_CTLN_R1.00.13	S-010W-A	RTL8189ETV	CT	ln	RK3228B	20170517	suying	20161221	吴凯利	2017-05-17	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078218_FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/辽宁电信
G-120WT-P_SW_A_ZY_CMFJ_R1.00.06	G-120WT-P	MTK7526FU	CM	fj	RK3228B	20170512	suying	20170505	姜良超	2017-05-17	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8220-FCZZA#01P07	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一福建移动
G-120WT-P_SW_A_ZY_CTLN_R1.00.04	G-120WT-P	MTK7526FU	CT	ln	RK3228B	20170517	suying	20161221	吴凯利	2017-05-17	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078218_FCZZA#01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一辽宁电信
RG020ET-CA_SW_B_ZY_CTSX_R1.00.17	RG020ET-CA	RTL8676	CT	sx	S905L	20170517	suying	20170512	吴凯利	2017-05-17	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8233-FCZZA#01P13	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西电信LAN上行
G-120WT-P_SW_A_ZY_CMHN_R1.00.22	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170516	suying	20170516	李滨伟	2017-05-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P14	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
G-120WT-P_SW_A_ZY_CTAH_R1.00.07	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170516	suying	20170516	童维青	2017-05-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
RG020ET-CA_SW_B_ZY_CTSX_R1.00.16	RG020ET-CA	RTL8676	CT	sx	S905L	20170516	suying	20170512	吴凯利	2017-05-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8233-FCZZA#01P12	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西电信LAN上行
S-010W-A_SW_A_ZY_CTLN_R1.00.12	S-010W-A	RTL8189ETV	CT	ln	RK3228B	20170515	suying	20161221	吴凯利	2017-05-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078218_FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/辽宁电信
S-010W-A_SW_A_ZY_CUHN_R1.02.00	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170505	suying	20170515	童维青	2017-05-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P015	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
G-120WT-P_SW_A_ZY_CTLN_R1.00.03	G-120WT-P	MTK7526FU	CT	ln	RK3228B	20170515	suying	20161221	吴凯利	2017-05-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078218_FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一辽宁电信
G-120WT-P_SW_A_ZY_CTAH_R1.00.06	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170513	suying	20170513	童维青	2017-05-13	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P07	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
RG020ET-CA_SW_B_ZY_CTSX_R1.00.14	RG020ET-CA	RTL8676	CT	sx	S905L	20170512	suying	20170510	吴凯利	2017-05-12	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8233-FCZZA#01P11	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西电信LAN上行
G-120WT-P_SW_A_ZY_CMHN_R1.00.20	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170504	suying	20170509	李滨伟	2017-05-09	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P13	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
G-120WT-P_SW_A_ZY_CTAH_R1.00.05	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170509	suying	20170509	童维青	2017-05-09	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P06	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
G-120WT-P_SW_A_ZY_CMHN_R1.00.18	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170504	suying	20170504	李滨伟	2017-05-08	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P12	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
S-010W-A_SW_A_ZY_CUHN_R1.01.03	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170505	suying	20170420	童维青	2017-05-05	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P014	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
G-120WT-P_SW_A_ZY_CMHN_R1.00.16	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170504	suying	20170504	李滨伟	2017-05-05	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P11	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
RG020ET-CA_SW_B_ZY_CTSX_R1.00.11	RG020ET-CA	RTL8676	CT	sx	S905L	20170504	suying	20170504	吴凯利	2017-05-04	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8233-FCZZA#01P10	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西电信LAN上行
S-010W-A_SW_A_ZY_CUHN_R1.01.02	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170419	suying	20170420	童维青	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P013	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUSD_R1.02.02	S-010W-A	RTL8189ETV	CU	sd	RK3228B	20170414	suying	20170503	张丛静	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078234_FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
G-120WT-P_SW_A_ZY_CMFJ_R1.00.05	G-120WT-P	MTK7526FU	CM	fj	RK3228B	20170412	suying	20170425	姜良超	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8220-FCZZA#01P06	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一福建移动
G-120WT-P_SW_A_ZY_CMHN_R1.00.15	G-120WT-P	MTK7526FU	CM	hn	RK3228B	20170427	suying	20170427	李滨伟	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8221-FCZZA#01P10	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一湖南移动
RG020ET-CA_SW_B_ZY_CTAH_R1.00.06	RG020ET-CA	RTL8676	CT	ah	S905L	20170503	suying	20170503	童维青	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8228-FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/安徽电信LAN上行
RG020ET-CA_SW_B_ZY_CTSX_R1.00.10	RG020ET-CA	RTL8676	CT	sx	S905L	20170502	suying	20170419	吴凯利	2017-05-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8233-FCZZA#01P9	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西电信LAN上行
S-010W-A_SW_A_ZY_CUSC_R1.00.01	S-010W-A	RTL8189ETV	CU	SC	RK3228B	20170331	suying	20170329	李滨伟	2017-05-02	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8235-FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/四川联通standalone
